tema,sentimiento,texto,tipo
saludo,3,un saludo desde mexico,comentario
saludo,3,hola como te va,comentario
saludo,3,hola te saludo,comentario
saludo,3,buenos dias,comentario
saludo,3,Buenas tardes,comentario
saludo,3,Buenas noches,comentario
saludo,3,Que tengas buenos dias,comentario
saludo,3,buenas noches,comentario
saludo,3,Que tenga buenos dias,comentario
saludo,3,Que gusto de verte,comentario
saludo,3,Que gusto de verlo,comentario
saludo,3,Tanto tiempo sin verte,comentario
saludo,3,Que Pachuca por Toluca,comentario
saludo,3,Que pasa en tu vida,comentario
saludo,3,Que pasa en tu dia,comentario
saludo,3,Que Pachuca por Toluca,comentario
saludo,3,Que transita por tus venas,comentario
saludo,3,Que transa,comentario
saludo,3,Que nueva trampa inventamos,comentario
saludo,3,Que transita por tus venas,comentario
saludo,3,Que Pedro Pablo,comentario
saludo,3,Como estas,comentario
saludo,3,Que pez,comentario
saludo,3,Que Honduras,comentario
saludo,3,Que rollo,comentario
saludo,-2,pagame y te saludo,comentario
saludo,3,Cordial saludo,comentario
saludo,3,un Saludo Desde Colombia ,comentario
saludo,3,como andas,comentario
saludo,3,dime,comentario
saludo,3,un saludo crack,comentario
saludo,3,Saludos carnal,comentario
saludo,3,Un saludo a la sociedad,comentario
saludo,3,Hola buenas noches aca viendo,comentario
saludo,3,avisame asi te saludo,comentario
saludo,3,Hola ha sido un dia agotador pero muy productivo y el tuyo?,comentario
saludo,3,Hola amigos espero sus comentarios ,comentario
saludo,3,Hola hola,comentario
saludo,3,Hola Dios soy yo de nuevo,comentario
saludo,3,Hola me pueden abrazar,comentario
saludo,3,Hola buenas cuentame de ti,comentario
saludo,3,Hola lindo dia saludos,comentario
saludo,3,Jajaja hola de nuevo,comentario
saludo,3,hola neo,comentario
saludo,3,hola si,comentario
saludo,3,Hola hoy estoy feliz,comentario
saludo,3,Hola hablame,comentario
saludo,3,uwu hola,comentario
saludo,3,Hola komo estan,comentario
clases,3,meses de clases en linea y no e aprendido nada,comentario
clases,-2,la neta yo si aprendi algo en este semestre que las clases en linea son un asco,comentario
clases,-2,Me esta consumiendo demasiado esto de estar tomando clases en linea y mudarme,comentario
clases,-2,yo quiero mucho a mis maestros y les agradezco su esfuerzo pero wey las clases de dibujo en linea solo no sirven ,comentario
clases,-2,Lo mejor de las clases en linea es que puedes hacer examenes escuchando musiquita,comentario
clases,-2,Que ganas de unas clases (NO en linea) de filosofia y filosofia politica al aire libre.,comentario
clases,-2,Harta de las clases en linea obvio,comentario
clases,-2,Es que neta tener clases en linea a estas horas esta horrible para mi,comentario
clases,-2,Actualmente las clases son transmitidas en linea y con apoyo de la television por medio del programa,comentario
clases,-2,No me levanto temprano ni para las clases en linea pero esto...,comentario
clases,-2,Las clases en linea jamas sustituyen a la practica,comentario
clases,-2,Ya hace falta una alineada de columna con estas clases en linea JAJAJAJAJAJAJAJA,comentario
clases,-2,yo odio las clases en linea y presenciales,comentario
clases,-2,De verdad que las clases en linea de la facultad dejan tanto que desear,comentario
clases,-2,odio odio las clases en linea y mi internet todo chafa,comentario
clases,-2,No miden lo harta que estoy de las clases en linea,comentario
clases,3,No quiero ir a clases,comentario
clases,3,Ya no mas clases en linea por favor,comentario
clases,3,En definitiva tengo cero paciencia con los videos tutoriales,comentario
clases,3,Ojala y las clases continuen en linea o mixto y si es asi que los docentes bajen la carga de trabajo con aprendizajes esenciales,comentario
clases,-2,toy harta de las clases en linea,comentario
clases,3,Lo unico bueno de las clases en linea es que puedo estar en pijama,comentario
clases,3,Pense que por ser clases en linea no me distraeria tanto me la paso viendo a todos peinandome cantando dibujando riendome solo TODO MENOS SABER DE QUe HABLA LA PROFE,comentario
clases,3,Esta homologacion de clases en linea solo ha hecho evidente las desigualdades en Mexico,comentario
clases,3,Imaginense tomar apuntes de clases en linea en lugar de grabar la clase con el poderosisimo OBS JAJAJAAJAJA,comentario
clases,3,Fracaso no solo son las clases en linea yo tal vez repruebe la materia para usar word por que la profe vale cheto,comentario
clases,3,Pues ni modo algo se tiene que hacer dar clases en linea me refiero o hacerme youtuber mientras tanto,comentario
clases,3,Las clases en linea ya no es lo mismo,comentario
clases,3,WeeeEy quien hace tarea en clases en linea,comentario
clases,3,q dificil es la vida con las clases en linea hermanas,comentario
clases,3,Lado bueno de las clases en linea es que en mi baño si hay papel,comentario
clases,3,Hoy fue mi ultima presentacion en mis clases en linea y al final puse al gif de Naruto Hokage porque asi me siento,comentario
clases,3,En medio del caos de las clases en linea muchxs jovenes se han enfrentado a este gran reto,comentario
clases,3,QUE YA TERMINEN LAS CLASES EN LiNEA PARA QUE TERMINE ESTE SUFRIENDO DE REGARLA SIEMPRE CON EL MICRoFONO,comentario
clases,3,Me enoja mucho ver los atardeceres perfectos a traves de mi ventana tomando clases en linea,comentario
clases,3,Desde que comenzamos las clases en linea,comentario
clases,3,lo mejor de las clases en linea,comentario
clases,3,Me enamore de un compañero de clases en linea y ni lo conozco,comentario
clases,3,Estoy mas puesta por aca que en mis clases en linea,comentario
clases,3,Hoy despues de meses de clases en linea conoci a mi maestra weeeeey quiero llorar,comentario
clases,3,Las clases serian en linea pero jalo Y cuando tengamos que ir a hacer tramites ahi nos vemos ahre,comentario
clases,3,Que ya se acaben las clases en linea,comentario
clases,3,Quien si esta aprendiendo en clases en linea,pregunta
clases,3,Tenia 3 semana que no me metia a clases en linea solo entregaba tarea,comentario
clases,3,Las clases en linea son peor que me ha pasado,comentario
clases,3,los maestros que no creen que las clases en linea son dificiles,comentario
clases,3,Lo unico bueno de las clases en linea es que puedo ver a las mascotas de mis compañeros,comentario
clases,3,Momento sublime de clases en linea,comentario
clases,3,no tengo luz y tengo Clases en linea ayuda,comentario
clases,3,Pues si la verdad es que puedes aprovechar la circunstancia de las clases en linea,comentario
clases,3,No les pasa que odian las clases en linea,comentario
comida,3,Mi plan es la paz mundial pero no sera facil porque tambien tengo que hacer la comida y sacar a los perros.,comentario
comida,3,Marengo se queja de que todos la odian y despues sigue haciendo el plato despues de tiempo y se come parte de su comida,comentario
comida,3,Nea el desayuno es perfecto es delicioso es facil se hacer dios mio amo demasiado desayunar te amo desayuno te amo,comentario
comida,3,Me acorde el año pasado nos juntamos en diciembre con comida de las fiestas y mis amigas al pionono le ponian jamon queso y mayonesa nada mas.,comentario
comida,3,Bailecito de la comida,comentario
comida,3,cualquier pasta sazona solo con mantequilla y sal con mucho pero mucho queso parmesano,comentario
comida,3,Confirmad que vosotros diferenciais entre desayuno y almuerzo x dios,comentario
comida,3,Si lo tuyo es la comida picante entonces estas opciones con CHIPOTLE son para ti,comentario
comida,3,no te vistas tan temprano que falta para la cena,comentario
comida,3,El restaurante Mexicano Casa Vega hizo unos tacos llamados Foo Fighters. ,comentario
comida,3,En Argentina hay una comida que se llama Lengua a la vinagreta es lo mas rico,comentario
comida,3,Buñuelos,comentario
comida,3,Puedo decir aperitivos como los buñuelos?,pregunta
comida,3,Torre de panqueques,comentario
comida,3,Tomates rellenos,comentario
comida,3,Ensalada rusa,comentario
comida,3,Su pavo bien relleno su pollo a la brasa con ensalada su paneton inca cola Coca cola chocolate caliente uvas galletas y amanecidas de domino y naipes xD,comentario
comida,3,Lasaña de verduras o cualquier pastas con una copa de Sangria. De postre helado de coco tiramisu o suspiro limeño.,comentario
comida,3,De entrada empanadas fritas de aji de gallina o ceviche ! salivando* o tostadas con guacamole salivando*,comentario
comida,3,carne al jugo con papas mayos arroz y ensalada de porotos verdes,comentario
comida,3,El pollo relleno de mi abuela y tomatitos cherrys.. o cuando todos ponemos un pintxo por familia,comentario
comida,3,La cena navideña aca en Colombia buñuelos natilla arequipe hojaldres quesito cuajada mmmm delicioso,comentario
comida,3,Pavo relleno bañado en una salsa exquisita junto con ensalada de fideos  pastel de chocolate estilo navidad.,comentario
comida,3,La natilla con buñuelitosss,comentario
comida,3,Yo dije lo mismo,comentario
comida,3,Mi Cena Favorita es la Lasaña Pestele en Hojas niño en vuelto y pastelitos.,comentario
comida,3,Arrollado de pollo lengua a la vinagreta tomates rellenos ensalada rusa,comentario
comida,3,Pastel de carne con pure de papa ,comentario
comida,3,me gustaba mucho el pollo relleno que preparaba mi abue,comentario
comida,3,Pues creo q no tengo pero mientras tenga buen sazon ,comentario
comida,3,Carne mechadaa junto a varias ensaladas y papas duquesas,comentario
comida,3,enrollado de pollo con jamon y queso con ensalada rusa,comentario
comida,3,Pues el pavito o pollo al horno con papas doradas y chocolate caliente,comentario
comida,3,Pollito con chimichurri acompañado de papas hervidas con perejil uwu,comentario
comida,3,Mi cena favorita es por y para siempre pechuga de pollo rellena de jamon y queso ,comentario
comida,3,Pavoooo,comentario
comida,3,papas duquesa con seitaaaan en salsa de champis,comentario
comida,3,Carne o pollo con papas duquesas e.e y galleta de jengibre y cola de mono ajaj,comentario
comida,3,mmm buñuelos y chocolate abuelita hsjshjsjs,comentario
comida,3,Pollo y carne con arroz y ensaladas jaja,comentario
comida,3,Pavo :3 con papas y una Rica ensalada,comentario
comida,3,El jamon con unos piquitos,comentario
comida,3,Pavo al horno y tomates rellenos ,comentario
comida,3,Mi cena favorita es vino con langosta y pan,comentario
comida,3,Los postres TODOS los postres navideños jaksjaks,comentario
comida,3,Tamales de salsa verde con carne molida ufff,comentario
comida,3,Cordero asado :3,comentario
comida,3,Pavo tamales pozole menudo frijoles ensalada.,comentario
comida,3,la tipica sopa navideña con su pasta y verduras,comentario
comida,3,El chocolate caliente,comentario
comida,3,chocolate caliente cn galletas,comentario
comida,3,Vitel tone y lengua a la vinagreta,comentario
comida,3,Bebida el ponche crema,comentario
navidad,3,"Amo la Navidad, me remite a los hermosos recuerdos de la infancia con mis padres y abuelos",comentario
navidad,3,"Mi día favorito del año es cuando ponemos el árbol en familia, escuchando música...les recomiendo “Angels we have heard on high” con el Oxford St. Peter’s Choir, desde siempre, una de las preferidas de mi abuelo",comentario
navidad,3,"No es tan bonito como el suyo Sra, pero con todo el espíritu! Saludos desde Montrea",comentario
navidad,3,"Que árbol tan cargado de simbolismos, demuestra de abundancia y experiencias como familia. Que continúen las bendiciones!!",comentario
navidad,3,La navidad tiene el significado que nosotros le damos. Les quedo muy padre el árbol.,comentario
navidad,3,"Muy interesante, ideal para iniciar este año.!!!!",comentario
navidad,3,Este árbol está hermoso.!!!!!,comentario
navidad,3,A mi me dieron el regalo perfecto,comentario
navidad,3,Los quiero! Voy a buscarlos... pero vas a tener que trabajar unos meses sin cobrar,comentario
navidad,3,Ojalá mi regalo de navidad sea tu ,comentario
navidad,3,"Y como ya es navidad, a escuchar a Luis Miguel hasta que acabe el año",comentario
navidad,3,La magia de la navidad empieza ya.,comentario
navidad,3,YA CASI SE ACABA EL 2020!!!,comentario
navidad,3,"YO PIENSO QUE CÓMO ES EL AÑO DE LA PANDEMIA Y ESTUVIMOS ENCERRADOS, OFICIALMENTE TODOS NOS DEBERÍAMOS DE QUITAR UN AÑO DE EDAD! JEJE",comentario
navidad,3,Si eres el baterista de One Direction deberías saber que hoy es el día de las Directioners y no he recibido ni una felicitación tuya ,comentario
navidad,3,"wiwish you a merry christmas, wiwish you a merry christmaaassss",comentario
navidad,3,El mes del perdón a llegado....y lo necesito para empezar de nuevo y les deseo una feliz navidad a cada uno de ustedes..,comentario
navidad,3,De navidad activa solo chidos y regalanos un icon navideño,comentario
navidad,3,Ultimo mes del 2020 Oh Yeah!!! Amo diciembre navideño,comentario
navidad,3,Ya es diciembre y no dijeron nada del salto en paracaídas,comentario
navidad,3,Ya es diciembre y no dijeron nada del salto en paracaídas,comentario
navidad,3,No vOy a ReSpirAR HASTA QUE NE DIGAS FELIZ NAVIDAD,comentario
navidad,3,wiwishu a meri crismas wiwishu a meri crismas an a hapy neu yer,comentario
navidad,3,FELÍZ NAVIDAAAAAD,comentario
navidad,3,que me darás de navidad?,pregunta
navidad,3,Es un día especial,comentario
navidad,3,Alguien invadió mi pinito ,comentario
navidad,3,Ya me vi en unos dias asi. A desempolvar las luces y a motivar,comentario
navidad,3,"Me dieron esta cesta de Navidad en el trabajo y naweboná me van a salir llagas en la boca porque yo nunca he comido tales DELICATESES, yo pura mortadela con pan ksksjrlsrkkddk",comentario
navidad,3,"Celebra la navidad en familia , sigue el ejemplo de nuestro querido NOBEL de Paz ... no guardes rencor en tu corazón.",comentario
navidad,3,¡Estoy lista para este repertorio de navidad!,comentario
navidad,3,"Listo, ahora solo me falta el tiempo",comentario
navidad,3,"Así es la vida, pero las opciones ya las tienes. ",comentario
navidad,3,Veras las peliculas y series navideñas más de una vez?,pregunta
navidad,3,"sin mi ""pobre angelito"" nada tiene sentido :c",comentario
navidad,3,"Ya no hay lugar para la frase: ""Ni tingui nidi qui vir"".",comentario
navidad,3,Que No está mi pobre angelito ? ,pregunta
navidad,3,¿Y Mi Pobre Angelito?,pregunta
navidad,3,"Si no hay Home Alone 1 y 2, no hay Navidad.",comentario
navidad,3,Modo Navidad activado,comentario
navidad,3,MI POBRE ANGELITO DONDE ESTA ????,pregunta
navidad,3,De verdad odias la navidad?,pregunta
navidad,3,"Si no está Mi Pobre Angelito, no existe navidad. Chau",comentario
navidad,3,Pongan las de mi pobre angelito,comentario
navidad,3,Pooorrrr finnn,comentario
navidad,3,"¡Llegó Diciembre y la Navidad! Y lo comenzamos con alegría, junto a nuestra juventud",comentario
viaje,3,"Bueno, a desayunar en Cancún para proseguir el viaje",comentario
viaje,3,"Que DIOS bendiga tu camino, que llegues con bien y de regreso también.",comentario
viaje,3,Feliz viaje ,comentario
viaje,3,"Muy buen camino, de ida y de regreso.",comentario
viaje,3,Feliz y bendecido viaje,comentario
viaje,3,"A donde quiera que sea tu destino, toma mi estrella para que te sirva de buena guía; (la que más brilla, esa es)",comentario
viaje,3,"Jajajaja buen viaje y mejor regreso, cuídate y disfruta mucho la estancia a dónde vayas",comentario
viaje,3,"Excelente viaje, que a dónde vayas y realices en tu viaje salga mejor de lo que piensas, que regreses con bien, satisfecha y agradecida... Se te desea lo mejor en tu viaje!",comentario
viaje,3,Tengas un excelente viaje y cuídate mucho !!,comentario
viaje,3,Buen viaje! Distancia y cubrebocas!,comentario
viaje,3,Excelente viaje,comentario
viaje,3,"Buen viaje y a seguir cuidándose, aquí te esperamos de regreso...",comentario
viaje,3,Que tengas un excelente viaje y que llegues con bien a tu destino,comentario
viaje,3,Buen viaje y si ya llegaste a tu destino que disfrutes de tu estadía ,comentario
viaje,3,Feliz viaje y mejor retorno!!!,comentario
viaje,3,"Oye, qué maravilla! Disfruta cada segundo Cuídate mucho.
Abrazo fuerte.",comentario
viaje,3,Buen viaje....!,comentario
viaje,3,"Donde quiera que vayas, que tu viaje sea feliz.",comentario
viaje,3,"Dios te bendiga amiga querida, tqm!!",comentario
viaje,3,Diviértete mucho,comentario
viaje,3,"Exitos hermosa, que Dios te bendiga en tus senderos.",comentario
viaje,3,Que tengas un excelente viaje. Saludos y un fuerte abrazo.,comentario
viaje,3,Buen viaje  a donde quiera que vayas y regresa con bien. Hasta pronto.,comentario
viaje,3,¡Buen viaje chingao! Saludos y que te vaya bonito,comentario
viaje,3,Que el todo poderoso ilumine tu camino y te colme de bendiciones en tu andar .,comentario
viaje,3,Que te vaya súper bien ,comentario
viaje,3,"Buen viaje, a donde sea que vayas.",comentario
viaje,3,cuídese y buen viaje,comentario
viaje,3,Yuuuuujuuuuuuuuuu feliz viaje,comentario
viaje,3,Este es el lugar más bonito que conozco,comentario
viaje,3,No tengo ningún lugar favorito. Jamás he salido de Venezuela. Cuando salga a pasear te aviso. Jeje.,comentario
viaje,3,Madrid me encanta para terminar el tour por Europa y comprar ropa en el Primark de la Gran Via,comentario
viaje,3,"Playa del Carmen me encanta! en realidad todo destino que tenga playa y mar me encanta, pero Playa del Carmen, me cautivo!",comentario
viaje,3,Canadá. Y por fin el próximo año voy a conocerlo,comentario
viaje,3,Los atardeceres desde Café del Mar son los mejores de Cartagena,comentario
viaje,3,Cayo de agua en el maravilloso archipealago de los roques VENEZUELA,comentario
viaje,3,"Aaaah qué difícil es esto, pero creo que elegiría Chamonix, aunque es un pueblito pequeño todo él parece una postal y ahí se encuentra Mont Blanc",comentario
viaje,3,Mazunte. No es el único pero si está en mi top.,comentario
viaje,3,"Eso es iztapalapa amigo, a mi no me mientes!",comentario
viaje,3,"No he ido, pero muero por conocer Sri Lanka - India. ",comentario
viaje,3,"Es un cliché, pero amo París",comentario
viaje,3,los pueblos mágicos de Mexico ,comentario
viaje,3,"Cuál es el mejor lugar en el que Usted ha estado de viaje? Se vale el que sea, lo que importa es el mejor recuerdo que tenga de un lugar!",comentario
viaje,3,Dónde mi tía. Mi mamá me mandaba dónde ella de vacacionee. Mi tía vivía enseguida de la casa de mi mamá,comentario
viaje,3,Que belleza! Jajajajaja,comentario
viaje,3,Cuando fuí a Berlín a un torneo de fútbol y ese fin de semana las murallas de Berlín fueron tumbadas. Algo histórico que pude presenciarlo.,comentario
viaje,3,"Sintra, en Portugal. Es una joya.",comentario
viaje,3,"Para no ir muy lejos y andar de presumido,  viajar por Colombia es lo mejor y el mejor lugar, los llanos Orientales.. lindos amaneceres",comentario
viaje,3,"Colombia tiene sitios hermosos, todo Boyacá por donde se mire, cualquier pueblo que visites te deja encantado. El Eje Cafetero, Los Llanos, San Andres y Providencia, La Guajira, Santa Marta, Cartagena, y mi hermoso Tolima! Colombia es muy linda!!!",comentario
viaje,3,"Machupichu, es mágico, el mejor lugar al que he podido visitar, se los recomiendo y no es caro. Saludos",comentario
viaje,3,"Playa Blanca - Isla Barú, antes de ser un lugar turístico.",comentario
viaje,3,Playas de Santa Mónica en California.,comentario
viaje,3,"Los Roques Venezuela, Archipiélago San Blas panamá,Quito Ecuador ,la Gran Sabana Venezuela
Los Roques Venezuela, Archipiélago San Blas panamá,Quito Ecuador ,la Gran Sabana Venezuela
",comentario
viaje,3,"España, era mi sueño desde niña y el año pasado una de mis hijas me llevó.",comentario
viaje,3,Egipto... es indescriptible,comentario
viaje,3,Me gustó muchísimo Sharm el sheikh,comentario
viaje,3,"El cabo de la Vela en la Guajira es de los más bonitos, y el de mejores recuerdos y por su vista, la finca de mi abuela en la vereda el porvenir de Viterbo Caldas, la vista del valle del río Risaralda es espectacular",comentario
viaje,3,Estoy de acuerdo con Mario El Cabo de La Vela es un espectáculo!!! Playas hermosas!!,comentario
viaje,3,Es cierto el Eje Cafetero por donde uno pase encuentra hermosos paisajes y sus fincas de construcciones admirables,comentario
viaje,3,Las cataratas del Niagara del lado del Canada!,comentario
viaje,3,Hermosas las Cataratas!!!,comentario
viaje,3,Muchos pero diría Villa de Leyva y Panamá,comentario
viaje,3,"El sitio mas lindo de Colombia, es mi Quindio del alma....verde por naturaleza y gente amable por raza..los espero... Saludos",comentario
viaje,3,El valle del cocora muy bacano!!!,comentario
viaje,3,"Trabajo con turismo y es difícil decir cual sitio me ha gustado mas, pues todas las culturas y lugares tienen su magia. Cuba para mi es hermosa, Punta Cana y Barcelona. En nuestro país San Andrés, Santa Marta, Capurgana, Bahía Solano, Boyacá, Santander.",comentario
viaje,3,"Cafayate, Argentina",comentario
viaje,3,"Y las playas de Venezuela!!!
Los Roques",comentario
viaje,3,De acuerdo!!! De las playas más hermosas!!!,comentario
viaje,3,"San Andrés, siempre será mi lugar favorito de ir de vacaciones, he ido a otras playas pero como San Andrés y su gente no hay otra. Amo ese lugar.",comentario
viaje,3,"Roma y Venecia Bandera de Italia y Mykonos y Atenas Bandera de Grecia Lugares que me gustaron. Mezcla de historia, cultura y belleza.",comentario
viaje,3,Si Florencia (Italia)es hermoso!!,comentario
viaje,3,"Me encanta, el corregimiento la Vega Arriba, rio Badillo, antes de Patillal, camino a la Sierra Nevada. 
Paisaje espectacular.
Aguas frías bajan de sierra.
Agua limpia y llena de peces…",comentario
viaje,3,"El mejor lugar, Santander España",comentario
viaje,3,"El mejor recuerdo, en París",comentario
viaje,3,"Santander es delicioso, en especial sus playas",comentario
viaje,3,El Mar de Cortéz.,comentario
viaje,3,Cabo San Juan del Guía. Los mejores recuerdos.,comentario
viaje,3,El mejor viaje... el 28 de diciembre a NY... que viaje tan espectacular en esta fecha!!!,comentario
viaje,3,Es bonita también,comentario
viaje,3,"Difícil uno solo. Le diría cinco que me gustaron por igual (aunque sean bastante clichés): Budapest, Praga, Brujas, París y Gante.",comentario
viaje,3,"Coincido en la dificultad de elegir uno solo, pero sin duda elegiría a Washington D.C !",comentario
viaje,3,"Roma, New York y Paris",comentario
viaje,3,"Roma y New York también, pero cómo decía ",comentario
viaje,3,San Andrés y Providencia tienen un mar hermoso... aguas cristalinas,comentario
viaje,3,San Andrés.. amo ésa isla,comentario
viaje,3,"De Colombia el Valle de Cocora, de afuera San Francisco Ciudad espectacular.",comentario
viaje,3,Estoy de acuerdo San Francisco es muy hermoso!!!,comentario
viaje,3,Vancouver y chicago en verano,comentario
viaje,3,"No conozco, pero si usted dice que es el mejor lugar, es porque es el mejor lugar",comentario
viaje,3,"Xcaret, mi mamá y mi hermana estaban tan felices pasamos un día increíble ",comentario
viaje,3,"Fantástico lugar, estuve dos veces allí. San Sebastián de Rabago",comentario
viaje,3,Zion National Park en Utah! Todo un paraíso escondido entre las rocas!,comentario
viaje,3,"Carnaval de Río , si no conocen a Brasil mejor no opinen , jejeje",comentario
viaje,3,"Lo conozco, pero me gusta más el revellon",comentario
viaje,3,"Palm Beach, Florida. Organización, respecto a las normas, belleza, limpieza, clima y prosperidad por donde camines.",comentario
viaje,3,Pam Beach es hermoso!,comentario
viaje,3,Paris uff,comentario
viaje,-2,El parque Tayrona... cuando era un lugar tranquilo.,comentario
viaje,3,"Reserva de la Biosfera Naha Metzabok en Chiapas. La mejor atención e instalaciones en un lugar precioso; todo administrado por los dueños, la gente Maya.",comentario
saludo,3,hola soy nuevo,comentario
comida,3,Qui comiste hoy?,pregunta
viaje,3,Ha donde has viajado?,pregunta
viaje,3,te gustan los viajes?,pregunta
comida,3,Cual es tu comida favorita?,pregunta
